nazev,lon,lat
Charlies,14.402666,50.0984982
Wellpet,14.3978299,50.1001467
Pivnice U Zívalů,14.397699,50.098609
"TDG,s.r.o.",14.3987796,50.0986911
Pivní Jistota,14.3979753,50.0987089
Oáza,14.3847396,50.1006894
Escobaras,14.3669582,50.0978702
Kavárna Jen Tak,14.3608275,50.0963939
Balada Bar,14.3591357,50.0983246
Barca Steak,14.3596043,50.0975748
Ballon restaurant,14.3544945,50.0950079
Vinárna,14.3505271,50.0956109
Above Šárka and Liboc brewery,14.323899,50.092447
Restaurace U Džbánu,14.3266413,50.0921917
green Muse,14.3096193,50.0907655
Svijanská Hospůdka,14.6261867,50.1159481
Restaurace Na radosti,14.6169538,50.1161695
Vinný šenk U Džonyho,14.6134667,50.1153385
Pension Rodos - Café,14.6064949,50.114194
Tenis Club Horní Počernice,14.597802,50.110518
Na Růžku,14.597363,50.1125131
U Chlupáče,14.6011144,50.1111661
Wine Bar La Garage,14.5617741,50.1092195
Restaurace a bar U Matěje,14.5438978,50.1075261
At the old tavern,14.5356397,50.1056734
Pivnice U Žraloka,14.5382804,50.1067964
PALUX C.S. spol. s r.o.,14.5200484,50.1047294
Pivárna U Klauna,14.5117808,50.1040261
bar Nine,14.5123076,50.1030651
SPORTBAR BET90,14.4912498,50.1038245
Fruitisimo Galerie Harfa,14.490945,50.103916
KAJOT Intacto Praha Harfa,14.4909688,50.1037892
U Zdi,14.4896667,50.1048006
Magic Rock Bar ILLUSION,14.4874897,50.1057938
Bar Balabenka,14.4856698,50.1040227
"Slapské Reality, s.r.o.",14.4797439,50.1038776
Cocktail Bar B3,14.4850717,50.1041865
Rock Club Error,14.4798772,50.1040634
Cafe DECADA,14.4772037,50.1045343
Hard Rock Bar,14.4754478,50.1023514
El Corazon Pepe Lopez,14.4761572,50.1037948
Synot Tip Sport Bar,14.4784,50.1030565
PandaHouse,14.4796132,50.1022363
Tipsport bar,14.4753927,50.102377
worm Club,14.4703299,50.0993475
SPORTBAR KAČAMBA,14.4699564,50.0995154
Double Helix club,14.4703299,50.0993475
HUGO BAR,14.4686185,50.0989903
Chill-out cafe STYX,14.4691162,50.099145300000004
Bondy Bar,14.4490568,50.1020033
SVOBODA U.Part,14.4483857,50.1019167
Centrála,14.4514922,50.1006519
Jatka 78,14.446674,50.100167
Jatka78,14.4465931,50.1001956
ShowPark MARKET,14.446776,50.0986411
Hospůdka Vrátnice - Pivní Bar,14.4458306,50.0984751
BIO OKO,14.430005,50.0999962
Sklípek Vaše Víno,14.4307267,50.0999607
Pivnice U Pivoje,14.4307432,50.0991451
RADAVA,14.428402,50.099537
Pivnice KOVADLINA U LÁZNÍ,14.4322112,50.0977817
Cobra,14.4323729,50.099215
Bar Rabar,14.4355107,50.0997123
Pivnice U Pivoje,14.4307432,50.0991451
Belcredi Bistro,14.4303737,50.0992643
Thirsty Dock,14.4325671,50.0978771
Bar Atlantik,14.4334626,50.0995353
Mr.HotDoG,14.4277813,50.0994932
Cobra plus spol. s r.o.,14.4320354,50.0992116
HANGÁR - řemeslné pivo & víno & spol.,14.4227234,50.0991726
Hells Bells Beer Pub,14.4244711,50.0980748
Koštovna u Počtů,14.427055,50.0997376
RESTAURACE NA KOVÁRNĚ,14.4276104,50.0989851
Stalin,14.4160803,50.0946844
Prague Beer Festival,14.4191038,50.0984804
Edison bar Letná,14.42226,50.1006764
Klášterní pivnice,14.4245347,50.0993196
Sedmý schod,14.4246599,50.099721
Miki oslava,14.4134027,50.096093
Restaurace Dejvická Sokolovna,14.404791,50.098088
Krkonošská hospůdka,14.406564,50.098271
Restaurace Na Hradčanské,14.4033977,50.09674
Na staré Vozovně,14.3898391,50.0942015
old Ořechovka,14.3805873,50.0952122
Samo Jídelna-pivnice - Jiří Scherzl,14.3486985,50.0895566
"Robert Jareš, Samo jídelna a pivnice",14.3486985,50.0895566
Bar Étoile,14.343974,50.089228
Bar Nika,14.342062,50.0877865
Grafitti wall,14.345065,50.0884473
Cadillac Klub Česká Republika,14.6024633,50.1105582
Fruitisimo CČM,14.5866234,50.1086485
Fruitisimo Centrum Černý Most,14.5832921,50.108793
Alžběta Suchelová - Sýkorka,14.5806585,50.1070167
Vinný Bar Lucie,14.5767188,50.1077321
Sport Bar U Broučka,14.5788417,50.1065943
Pivotéka Černý Most,14.5755196,50.1061203
Pivní bar Podkova,14.5751372,50.1069731
Bar Domino,14.578466,50.1062754
Club U Vitamína,14.578466,50.1062754
Šenk na Rajské,14.5618173,50.1065204
Pivnice Sparta,14.5582651,50.1057775
Vinotéka S.P.Z,14.554193,50.1041728
Hostinec V Chaloupkách,14.5390138,50.1023779
BarCom CZ spol. s r.o.,14.5211322,50.1029989
Sportbar Laguna,14.5010827,50.1017542
Borneo Olympik,14.4685288,50.0986797
wine Karlin,14.4552313,50.0941619
VELTLIN,14.4568452,50.0939363
Vinotéka Správná adresa,14.4526333,50.0944326
Diego Beer Bar,14.4552287,50.0947584
Deli Shop,14.4562497,50.0935178
